logclf_only_tfidf,rf_only_tfidf,gbc_only_tfidf,logclf_tfidf_with_features,rf_tfidf_with_features,gbc_tfidf_with_features,logclf_tfidf_with_cleanedfeatures,rf_tfidf_with_cleanedfeatures,gbc_tfidf_with_cleanedfeatures,logclf_only_features,rf_only_features,gbc_only_features,spacy_v0,spacy_v1
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0002525101008359343,0.01576942764222622
0,0,0,0,0,0,0,0,0,0,0,1,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,0,0,0.9921427965164185,0.987559974193573
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.000152543158037588
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00017866796406451613,0.0002074271033052355
0,0,0,0,0,0,0,0,0,0,0,0,0.00016496144235134125,0.008278723806142807
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,1,0.0014243414625525475,9.652203880250454e-05
0,0,0,0,0,1,0,0,1,0,0,1,0.002508854726329446,0.001571047119796276
0,0,1,0,0,1,0,0,0,0,1,0,0.03179888054728508,0.02553527243435383
0,0,0,0,0,0,0,0,0,0,0,1,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,1,0,0.9999545812606812,0.9999545812606812
1,1,1,1,1,1,1,1,0,0,0,0,0.9982616305351257,0.9899095296859741
1,1,1,1,1,1,1,1,1,1,1,1,0.9985452890396118,0.9982272982597351
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,7.181553519330919e-05,0.003411627607420087
0,0,1,0,0,1,0,0,1,0,0,0,0.002147347666323185,0.009243151172995567
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,9.446198964724317e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00011631075176410377,0.0019545401446521282
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00013224837312009186,0.0002221323666162789
0,0,0,0,0,0,0,0,0,0,0,0,0.00014552970242220908,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00017694462439976633,0.0015963530167937279
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,7.2274255217053e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0009360442636534572,0.001978259766474366
1,1,1,1,1,1,1,1,1,1,0,1,0.9999545812606812,0.9999383687973022
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,9.601512283552438e-05
1,1,1,0,1,0,0,0,0,0,1,0,0.9975549578666687,0.9971110820770264
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,5.951569983153604e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,1,1,0.9955642223358154,0.9960719347000122
0,0,0,0,0,0,0,0,0,0,0,0,8.165563485817984e-05,0.003001290839165449
0,1,0,0,1,0,0,1,0,0,0,0,0.98823082447052,0.9833330512046814
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00011395600449759513,0.010571501217782497
0,0,1,1,1,1,0,0,1,0,0,0,0.02075514756143093,0.12870296835899353
0,0,0,0,0,0,0,0,0,0,0,0,0.0002117383264703676,0.0007423327770084143
1,1,1,1,1,1,1,1,1,0,0,1,0.9999383687973022,0.9997019171714783
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,9.22146937227808e-05,0.01710519753396511
1,1,1,1,1,1,1,1,1,0,0,1,0.9998542070388794,0.9972261786460876
1,1,1,1,1,1,0,1,0,0,0,0,0.9980617165565491,0.9917019009590149
0,1,0,0,0,0,0,1,0,0,1,1,0.9998877048492432,0.9948856234550476
0,0,0,0,0,0,0,0,0,0,0,0,0.00011750445992220193,0.0005240096361376345
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,9.687122656032443e-05,0.00664067268371582
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0005756889004260302,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,9.432391379959881e-05,0.00019268241885583848
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,5.0770493544405326e-05,0.0010785680497065187
0,0,0,0,0,0,0,0,0,0,0,0,0.00019851837714668363,0.00014224740152712911
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.005816748831421137
0,0,0,0,0,0,0,0,0,0,0,0,0.0001850301632657647,0.007709631696343422
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.580049426294863e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,6.805799785070121e-05
1,1,1,1,1,1,1,1,1,0,0,0,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,0.0005274122813716531,0.011369596235454082
0,0,0,0,0,0,0,0,0,0,0,0,0.0002736835740506649,7.972453749971464e-05
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9971590042114258
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,0,0,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,0.00019644077110569924,0.001010377425700426
0,0,0,0,0,0,0,0,0,0,0,0,0.0035225595347583294,0.01586947962641716
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,1,0,0,0,4.539787187241018e-05,5.5442011216655374e-05
1,1,1,1,1,1,1,1,0,0,1,0,0.9976638555526733,0.9992712140083313
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0007297727861441672,0.00047920606448315084
1,1,1,1,1,1,1,1,1,0,1,1,0.9100282788276672,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,0,0,0,0,0.9972144961357117,0.9747012257575989
0,0,1,0,0,0,0,0,0,0,0,0,0.5399355888366699,0.018452446907758713
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,1,0,0,0,0,0,0,0,0,0,0.0035588343162089586,0.010921863839030266
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,0,0,1,0,0.999496579170227,0.9996960163116455
1,1,1,1,1,1,0,1,0,0,0,0,0.9999538660049438,0.9999545812606812
0,0,1,0,0,1,0,0,0,0,0,0,0.001767337671481073,0.03592642396688461
0,0,0,0,0,0,0,0,0,0,0,0,0.00010710457718232647,0.0017973012290894985
0,0,0,0,0,0,0,0,0,0,0,0,0.00017035187920555472,0.00973364058881998
1,1,1,1,1,1,1,1,1,1,1,1,0.999298095703125,0.9497719407081604
0,0,0,0,0,0,0,0,0,0,0,0,0.0012989003444090486,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,1,1,1,1,0.00527087552472949,0.0081330556422472
1,1,1,1,1,1,1,1,1,0,1,0,0.9900436401367188,0.9997147917747498
0,0,0,0,0,0,0,0,0,0,0,0,6.157845200505108e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,1,0,0.9999545812606812,0.9999388456344604
1,1,1,1,1,1,1,1,0,0,1,0,0.9999545812606812,0.9994352459907532
1,1,1,1,1,1,0,0,0,0,1,0,0.9959730505943298,0.8037219643592834
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,0,0,0.9981166124343872,0.9846012592315674
0,0,0,0,0,0,0,0,0,0,0,0,0.00016471059643663466,0.011001101695001125
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.000217676380998455,0.005140464752912521
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,0,1,1,0,1,1,0,1,1,0,1,0.00042562317685224116,0.02015667036175728
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.58026333944872e-05
1,0,1,1,0,1,1,0,1,1,0,1,0.002413357375189662,0.05321111902594566
0,0,0,0,0,0,0,0,0,0,0,0,0.00011883884872077033,0.00011016779899364337
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,8.431640162598342e-05
0,0,0,0,0,0,0,0,0,0,0,0,8.813685417408124e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.00020030164159834385
1,1,1,1,1,1,1,1,1,1,1,1,0.9991753697395325,0.9906948804855347
0,0,0,0,0,0,0,0,0,0,0,0,0.0333687849342823,0.0014540544943884015
0,0,0,0,0,0,0,0,0,0,1,0,0.0005709335673600435,0.005346011370420456
0,0,0,0,0,0,0,0,0,0,0,0,0.00023610834614373744,0.00022600623196922243
0,0,0,0,0,0,0,0,0,1,1,1,4.539787187241018e-05,6.161357305245474e-05
1,1,1,1,1,1,0,1,0,0,1,0,0.999610960483551,0.9973881840705872
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9943875670433044
0,0,0,0,0,0,0,0,0,0,0,0,7.686772005399689e-05,0.00149775471072644
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0013244805159047246
0,0,1,0,0,1,0,0,0,0,0,0,0.004391836002469063,0.005108396988362074
0,0,0,0,0,0,0,0,0,0,0,0,0.02443891577422619,0.07785754650831223
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,0.023928852751851082,0.017756830900907516
1,1,1,1,1,1,1,1,1,0,0,0,0.9725435376167297,0.9997840523719788
1,1,1,1,1,1,1,1,1,0,1,0,0.9999545812606812,0.9995238780975342
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0013013031566515565
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00028710716287605464,0.0023594878148287535
1,1,1,1,1,1,1,1,1,0,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0002524845767766237
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.00021054410899523646
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,1,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0019662328995764256
0,0,0,0,0,0,0,0,0,0,0,0,0.12292539328336716,0.005024710204452276
0,0,0,0,0,0,0,0,0,0,0,0,0.00020677014254033566,0.0007099487702362239
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00011870882008224726,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,1,0,0,0,0,0,1,4.539787187241018e-05,0.00756948534399271
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,8.990299102151766e-05,0.0005661929026246071
0,0,0,0,0,0,0,0,0,0,0,0,0.0006781953270547092,0.06480050832033157
1,1,1,1,1,1,0,1,0,0,0,0,0.9961024522781372,0.9768110513687134
0,0,0,0,0,0,0,0,0,1,0,1,5.258844612399116e-05,0.0023555501829832792
0,0,0,0,0,0,0,0,0,0,0,0,0.004398306366056204,0.005422070622444153
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0001537864445708692
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,1,1,1,0.9999468326568604,0.9997274279594421
0,0,0,0,0,0,0,0,0,0,0,0,6.004690294503234e-05,0.002844954375177622
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,5.348847116692923e-05
0,0,0,0,0,0,0,0,0,0,1,0,0.002880098996683955,0.0026684931945055723
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0007871962152421474,0.0007350402884185314
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,0,0,1,0,0,1,0,0,1,0,0.9975080490112305,0.9945446252822876
0,1,0,1,1,1,1,1,1,1,1,1,0.9997735619544983,0.9972223043441772
1,1,0,1,1,0,1,1,0,0,0,0,0.9999545812606812,0.9993886947631836
0,0,0,0,0,0,0,0,0,0,0,0,0.002190908184275031,0.03996066749095917
1,0,0,1,0,0,0,0,0,0,0,0,0.057656578719615936,0.05571713671088219
1,1,1,1,1,1,1,1,1,1,1,1,0.9634735584259033,0.9996234178543091
0,0,0,0,0,0,0,0,0,0,0,0,0.001151103526353836,0.001288805273361504
1,1,1,1,1,1,1,1,1,0,0,0,0.9984602928161621,0.9944711923599243
0,0,0,0,0,0,0,0,0,0,0,0,0.00024214855511672795,0.0007151247700676322
0,0,0,0,0,0,0,0,0,0,0,1,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.000221893162233755
0,0,0,0,0,0,0,0,0,0,0,0,0.0005476006190292537,0.0015898826532065868
1,1,1,1,1,1,1,1,1,0,1,1,0.9999545812606812,0.9995858073234558
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.00032700548763386905
1,1,1,1,1,1,1,1,1,0,1,1,0.999757707118988,0.9996024966239929
1,1,1,1,1,1,1,1,1,0,0,0,0.9934248924255371,0.9836435914039612
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,7.74291911511682e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.03876752033829689,0.01481632236391306
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00019953155424445868,0.005225781816989183
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,1,0,0,1,0,0,1,0,0,1,0,0.9999545812606812,0.9997437596321106
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,0,0,0.8996973633766174,0.997033953666687
0,0,0,0,0,0,0,0,0,0,1,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,1,1,0.9987502098083496,0.9972876310348511
0,0,0,0,0,0,0,0,0,0,0,0,8.599917782703415e-05,0.0001282688172068447
0,0,0,0,0,0,0,0,0,0,0,1,4.539787187241018e-05,0.00013327327906154096
0,0,0,0,0,0,0,0,0,0,0,0,7.993014878593385e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,0,1,0,0,0,0,0,0.9999545812606812,0.999858021736145
1,1,1,1,1,1,1,1,1,1,1,1,0.9997215867042542,0.9984721541404724
0,0,0,0,0,0,0,0,0,0,0,0,6.46990374661982e-05,0.0018733195029199123
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,9.7772637673188e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,0,0,0,0,0.9963514804840088,0.9742698669433594
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,1,0,0,1,0,0,0,0,0,0,0.00035880107316188514,0.01575455814599991
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0008687186054885387
0,0,0,0,0,0,0,0,0,0,0,0,0.0006465433398261666,0.0028826992493122816
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,0,1,1,0,1,1,0,1,0.016060538589954376,0.9941722750663757
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.009515301324427128,0.006503370124846697
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,1,0,0,1,0,0,0,0,0,0,0.0053979018703103065,0.0030504572205245495
0,0,0,0,0,1,0,0,0,0,0,1,0.0007748499629087746,0.0015540925087407231
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,1,0,0.9879657626152039,0.9976887702941895
1,1,1,1,1,1,1,1,0,0,0,0,0.9990783929824829,0.9996886253356934
1,1,1,1,1,1,1,1,1,0,0,0,0.9999545812606812,0.9985307455062866
1,1,1,1,1,1,0,1,0,0,0,0,0.9993059635162354,0.9992905855178833
1,1,1,1,1,1,1,1,1,1,1,1,0.999852180480957,0.9994356036186218
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0032378770411014557
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,0,0,1,0,0.9992800354957581,0.9987321496009827
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00012189448898425326,0.00018989460659213364
1,1,0,1,1,1,1,1,0,0,1,0,0.9999545812606812,0.9994508624076843
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,0.0003257058560848236,0.004448445048183203
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.002059499965980649,0.0029109849128872156
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,0.0006389066693373024
0,0,1,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,0,1,0,0,1,0,0,0,0,0.9990812540054321,0.9957675933837891
0,0,0,0,0,0,1,0,1,1,0,1,9.113906708080322e-05,0.005659108981490135
1,1,1,1,1,1,0,1,0,0,0,0,0.9997919201850891,0.9897181987762451
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.00045344154932536185,0.0005744948284700513
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
